nombre,comuna,franja_distancia_comisaria,superficie_interseccion_km2,factor_area_barrio,POBLACION,poblacion_estimada
Nuñez,13,ALEJADA (MAS DE 1350 m),1.6187011724897082,0.3601302357799365,51949,18708.405618531924
Palermo,14,ENTORNO INMEDIATO (0-500 m),3.2819074358091886,0.20620828441814665,226534,46713.18750238043
Palermo,14,CERCANA (501-900 m),4.1195716513717295,0.2588402687711834,226534,58636.12144581126
Palermo,14,INTERMEDIA (901-1350 m),4.024821986831277,0.25288697296494006,226534,57287.49753363973
Palermo,14,ALEJADA (MAS DE 1350 m),4.489196429234991,0.28206447384472744,226534,63897.19351794149
Parque Avellaneda,9,ENTORNO INMEDIATO (0-500 m),0.7368858192740779,0.15576501537705495,53229,8291.216003505258
Parque Avellaneda,9,CERCANA (501-900 m),1.3545681066440138,0.2863324499425543,53229,15241.189977992222
Parque Avellaneda,9,INTERMEDIA (901-1350 m),1.2916837564642958,0.27303977756846876,53229,14533.634320192023
Parque Avellaneda,9,ALEJADA (MAS DE 1350 m),1.347615352824683,0.28486275711192305,53229,15162.959698310551
Parque Chacabuco,7,ENTORNO INMEDIATO (0-500 m),0.2865859659260281,0.07481794678457332,56281,4210.828862982571
Parque Chacabuco,7,CERCANA (501-900 m),1.0631201871601288,0.277544887208757,56281,15620.50379699605
Parque Chacabuco,7,INTERMEDIA (901-1350 m),1.4067994179594074,0.3672679632073232,56281,20670.208237271356
Parque Chacabuco,7,ALEJADA (MAS DE 1350 m),1.0739385702672977,0.2803692027993404,56281,15779.459102749677
Parque Chas,15,CERCANA (501-900 m),0.2840308577731016,0.20509976221757012,17489,3586.9897414230836
Parque Chas,15,INTERMEDIA (901-1350 m),0.6304699412254062,0.4552647414597292,17489,7962.125063389204
Parque Chas,15,ALEJADA (MAS DE 1350 m),0.47034165377724463,0.339635496322707,17489,5939.885195187823
Parque Patricios,4,ENTORNO INMEDIATO (0-500 m),1.5245144484416935,0.4074363296829075,40985,16698.777972053962
Parque Patricios,4,CERCANA (501-900 m),1.9749421773450122,0.5278160485103442,40985,21632.540748196458
Parque Patricios,4,INTERMEDIA (901-1350 m),0.24226775512013626,0.06474762180677421,40985,2653.681279750641
Paternal,15,CERCANA (501-900 m),0.06441244722376313,0.028898777844855405,19717,569.797202767014
Paternal,15,INTERMEDIA (901-1350 m),0.713838869293829,0.32026528706604757,19717,6314.67066508126
Paternal,15,ALEJADA (MAS DE 1350 m),1.450647343819004,0.6508359350890968,19717,12832.53213215172
Puerto Madero,1,ENTORNO INMEDIATO (0-500 m),0.20954040593538947,0.04156896244936015,6726,279.59284143439635
Puerto Madero,1,CERCANA (501-900 m),0.5984561180493787,0.11872268638467372,6726,798.5287886233154
Puerto Madero,1,INTERMEDIA (901-1350 m),1.2984291548152431,0.25758446223642395,6726,1732.5130930021876
Puerto Madero,1,ALEJADA (MAS DE 1350 m),2.9343642180046983,0.5821238889295398,6726,3915.3652769400846
Recoleta,2,ENTORNO INMEDIATO (0-500 m),1.6776963302555494,0.2608994113361979,157932,41204.3658311484
Recoleta,2,CERCANA (501-900 m),2.167193990677046,0.337021441975057,157932,53226.470374004704
Recoleta,2,INTERMEDIA (901-1350 m),0.9508122459995663,0.14786129694564518,157932,23352.030349219633
Recoleta,2,ALEJADA (MAS DE 1350 m),1.634730992351331,0.2542178497419349,157932,40149.133445443265
Retiro,1,ENTORNO INMEDIATO (0-500 m),1.5913790977367241,0.35268047959731963,65413,23069.88821189947
Retiro,1,CERCANA (501-900 m),2.0293382605216275,0.44974072614366073,65413,29418.89011923528
Retiro,1,INTERMEDIA (901-1350 m),0.7454489766164702,0.16520595435891705,65413,10806.61709247984
Retiro,1,ALEJADA (MAS DE 1350 m),0.14607403508763564,0.032372839900116634,65413,2117.6045763863294
